timestamp,instance,beta,run_id,seed,init_cost,best_cost,stage1_cost,stage2_cost,runtime_sec,saa_S,proxy_S,t_stage1,t_stage2
2026-02-26 10:51:29,c106_21,0.1,1,1042,1071.7658872247619,1053.482999696768,1008.9138948559073,44.56910484086071,59.05017113685608,100,5,6.528413534164429,52.52175760269165
2026-02-26 10:53:20,c106_21,0.1,2,1043,1069.6210903863657,1045.0549988532398,987.0962808032446,57.958718049995134,110.92467069625854,100,5,8.247334957122803,102.67733573913574
2026-02-26 10:54:34,c106_21,0.1,3,1044,1079.7892202337014,1052.462759083788,1009.0529352154512,43.4098238683368,74.36742639541626,100,5,6.6740875244140625,67.6933388710022
2026-02-26 11:00:04,c106_21,0.2,1,2042,1071.0044166414025,1028.8173613917427,1024.769656516703,4.047704875039711,329.4456124305725,100,5,23.68838119506836,305.75723123550415
2026-02-26 11:05:19,c106_21,0.2,2,2043,1066.5720169119277,1035.7147270717683,1032.045762215693,3.668964856075131,315.1981120109558,100,5,19.055864572525024,296.1422474384308
2026-02-26 11:06:57,c106_21,0.2,3,2044,1073.0392276623131,1036.7256096932888,1032.5249926997801,4.200616993508586,97.95859098434448,100,5,8.669262409210205,89.28932857513428
2026-02-26 11:08:35,c106_21,0.3,1,3042,1086.4368483834867,1041.6567517490205,1009.4315028668356,32.22524888218495,97.97070956230164,100,5,7.9101409912109375,90.0605685710907
2026-02-26 11:09:30,c106_21,0.3,2,3043,1070.6805540208898,1056.290901440548,1026.3523255688872,29.93857587166082,55.613367795944214,100,5,5.631005048751831,49.98236274719238
2026-02-26 11:11:14,c106_21,0.3,3,3044,1081.6835922922603,1045.3385329197458,1016.0858723867048,29.252660533041116,103.22819685935974,100,5,8.134868144989014,95.09332871437073
2026-02-26 11:14:08,c106_21,0.4,1,4042,1075.8274818685957,1035.9656270646942,1027.9753895919798,7.990237472714285,174.05248713493347,100,5,13.177711963653564,160.8747751712799
2026-02-26 11:15:23,c106_21,0.4,2,4043,1074.6113740186868,1051.6941637618947,1021.2684476244985,30.425716137396247,75.74270606040955,100,5,6.401604413986206,69.34110164642334
2026-02-26 11:18:36,c106_21,0.4,3,4044,1084.0547656881788,1033.758468408741,1028.1306792559217,5.627789152819333,192.554913520813,100,5,13.502488374710083,179.0524251461029
2026-02-26 11:23:25,c106_21,0.5,1,5042,1073.1725944340587,1047.562931910986,1032.557295807202,15.005636103783763,288.7872836589813,100,5,19.823750495910645,268.9635331630707
2026-02-26 11:26:16,c106_21,0.5,2,5043,1078.8210775705456,1038.7617439884532,1029.059532135579,9.70221185287423,170.94700288772583,100,5,13.372659683227539,157.5743432044983
2026-02-26 11:29:27,c106_21,0.5,3,5044,1090.8396844163574,1053.549046694103,1020.7109828499244,32.838063844178535,191.42008924484253,100,5,13.850324392318726,177.5697648525238
2026-02-26 11:32:02,c106_21,0.6,1,6042,1089.5196806806991,1061.3586271644647,1044.6581679564358,16.700459208028843,154.84873604774475,100,5,10.134262323379517,144.71447372436523
2026-02-26 11:33:10,c106_21,0.6,2,6043,1083.2436422748792,1065.1105472532304,1033.4397363155006,31.670810937729854,68.35229301452637,100,5,6.479489088058472,61.872803926467896
2026-02-26 11:35:11,c106_21,0.6,3,6044,1083.090088398471,1041.643238462656,1031.2195498749422,10.423688587713782,120.32372760772705,100,5,9.96895980834961,110.35476779937744
2026-02-26 11:38:51,c206_21,0.1,1,1042,1135.2380407770731,1085.3888479282473,1036.5180609456957,48.870786982551735,219.9275257587433,100,5,15.06033205986023,204.86719369888306
2026-02-26 11:41:42,c206_21,0.1,2,1043,1134.0913441162184,1099.4578616903784,1052.4941990281682,46.96366266221021,171.58510899543762,100,5,12.439664602279663,159.14544439315796
2026-02-26 11:44:59,c206_21,0.1,3,1044,1135.4733229202845,1097.1751744968733,1073.1849724889132,23.990202007960114,196.70964193344116,100,5,12.418360948562622,184.29128098487854
2026-02-26 11:47:31,c206_21,0.2,1,2042,1138.1567637761498,1107.662066936966,1057.6244554135878,50.03761152337837,152.15685486793518,100,5,10.05110478401184,142.10575008392334
2026-02-26 11:49:26,c206_21,0.2,2,2043,1149.8644858414498,1107.579289061776,1056.3809845571116,51.198304504664335,115.18822717666626,100,5,8.743332147598267,106.444895029068
2026-02-26 11:52:15,c206_21,0.2,3,2044,1139.1489505355985,1070.774692046417,1017.0164712048994,53.758220841517485,169.10165524482727,100,5,12.268717288970947,156.83293795585632
2026-02-26 11:56:04,c206_21,0.3,1,3042,1151.3526234632895,1110.4326682839453,1057.691303215958,52.74136506798742,228.2290871143341,100,5,13.901289224624634,214.32779788970947
2026-02-26 11:57:44,c206_21,0.3,2,3043,1135.6353493365675,1110.5288241041321,1057.9295003422128,52.59932376191939,100.69840407371521,100,5,7.707327127456665,92.99107694625854
2026-02-26 11:59:34,c206_21,0.3,3,3044,1151.228571862215,1089.6038859305831,1061.4550545152197,28.148831415363485,109.85649013519287,100,5,7.895079851150513,101.96141028404236
2026-02-26 12:02:55,c206_21,0.4,1,4042,1146.9254033880052,1103.9387962587596,1050.980595792763,52.958200465996306,200.68854570388794,100,5,14.211941003799438,186.4766047000885
2026-02-26 12:07:43,c206_21,0.4,2,4043,1141.2024087755508,1110.708770254026,1080.0513194883401,30.65745076568591,288.39743089675903,100,5,16.916208505630493,271.48122239112854
2026-02-26 12:09:23,c206_21,0.4,3,4044,1152.1683208047275,1118.0451808892537,1059.4763222610127,58.56885862824107,99.73358488082886,100,5,8.469640731811523,91.26394414901733
2026-02-26 12:10:53,c206_21,0.5,1,5042,1149.9639986468858,1119.4693455486013,1059.9187847712242,59.55056077737711,89.92338848114014,100,5,7.545770168304443,82.3776183128357
2026-02-26 12:13:35,c206_21,0.5,2,5043,1126.573521850599,1114.1757955635042,1058.5162064291615,55.65958913434263,162.08882570266724,100,5,10.903470277786255,151.18535542488098
2026-02-26 12:14:48,c206_21,0.5,3,5044,1156.3298832711773,1116.7362452430905,1055.629924876728,61.106320366362425,72.65104293823242,100,5,6.699002027511597,65.95204091072083
2026-02-26 12:16:51,c206_21,0.6,1,6042,1153.6763644745445,1114.202435009769,1055.1408158434872,59.06161916628165,122.9286162853241,100,5,9.156381845474243,113.77223443984985
2026-02-26 12:18:51,c206_21,0.6,2,6043,1155.2878772138642,1110.8896918220594,1073.4045413061167,37.485150515942806,120.12513422966003,100,5,9.30339002609253,110.8217442035675
2026-02-26 12:24:51,c206_21,0.6,3,6044,1169.155771696087,1112.323962447446,1052.548063585085,59.77589886236105,360.5303316116333,100,5,20.749658346176147,339.78067326545715
2026-02-26 12:26:50,r106_21,0.1,1,1042,1222.6115569866843,1188.8185093284048,1188.7336565146625,0.08485281374238571,118.57733249664307,100,5,9.292683839797974,109.28464865684509
2026-02-26 12:28:19,r106_21,0.1,2,1043,1204.8016441591667,1175.8335434332307,1174.3623410715309,1.4712023616998189,89.37200689315796,100,5,7.585761070251465,81.7862458229065
2026-02-26 12:32:12,r106_21,0.1,3,1044,1209.731712158642,1165.689062288358,1165.6890622883577,0.0,232.7883791923523,100,5,16.759148120880127,216.02923107147217
2026-02-26 12:34:49,r106_21,0.2,1,2042,1213.6856793965644,1158.1871499693573,1158.1164392912387,0.07071067811865475,156.47788643836975,100,5,13.211509943008423,143.26637649536133
2026-02-26 12:37:55,r106_21,0.2,2,2043,1238.5116596267121,1161.9918107670321,1109.3885143337982,52.60329643323404,186.0748827457428,100,5,14.580796241760254,171.49408650398254
2026-02-26 12:41:05,r106_21,0.2,3,2044,1221.7579649475947,1155.3761180295403,1155.3761180295403,0.0,190.56363654136658,100,5,14.617509365081787,175.9461271762848
2026-02-26 12:47:30,r106_21,0.3,1,3042,1213.8366577600248,1152.0605735131028,1150.0344556921007,2.026117821002377,384.76504039764404,100,5,27.51092505455017,357.2541153430939
2026-02-26 12:49:12,r106_21,0.3,2,3043,1215.6378517463588,1155.7288274886603,1126.1689794496795,29.559848038980796,102.1894462108612,100,5,8.560801267623901,93.6286449432373
2026-02-26 12:50:51,r106_21,0.3,3,3044,1209.2022085256672,1178.726052432455,1152.4257041151943,26.30034831726083,98.81854176521301,100,5,7.835392713546753,90.98314905166626
2026-02-26 12:54:16,r106_21,0.4,1,4042,1212.1250576919115,1175.064337019885,1173.3698813621136,1.6944556577715073,204.8908703327179,100,5,15.760406970977783,189.1304633617401
2026-02-26 12:56:46,r106_21,0.4,2,4043,1269.0144058499227,1191.0075609080948,1165.6649073611716,25.342653546923042,150.21440196037292,100,5,11.991740226745605,138.22266173362732
2026-02-26 12:59:52,r106_21,0.4,3,4044,1221.9963404481095,1168.6525382182394,1141.6813404934383,26.971197724801183,186.1217701435089,100,5,13.81981086730957,172.30195927619934
2026-02-26 13:06:41,r106_21,0.5,1,5042,1224.230331064462,1160.6364688782367,1133.3988571426617,27.237611735575275,408.90087509155273,100,5,24.146817207336426,384.7540578842163
2026-02-26 13:09:14,r106_21,0.5,2,5043,1214.5982216450352,1160.7948865718727,1147.2521584881163,13.542728083756492,152.86341381072998,100,5,11.967878341674805,140.89553546905518
2026-02-26 13:10:40,r106_21,0.5,3,5044,1224.4874392449258,1176.4051530728918,1125.1384712036256,51.26668186926615,85.65073561668396,100,5,7.610090494155884,78.04064512252808
2026-02-26 13:12:04,r106_21,0.6,1,6042,51239.38921950116,1186.0429523078246,1161.750622141145,24.2923301666798,83.92913174629211,100,5,7.765602111816406,76.16352963447571
2026-02-26 13:15:58,r106_21,0.6,2,6043,1222.9247255672512,1165.7648049903326,1159.06899048068,6.695814509652531,233.97496151924133,100,5,15.637737512588501,218.33722400665283
2026-02-26 13:19:28,r106_21,0.6,3,6044,1222.3249453015192,1186.9432974773067,1163.8383853839614,23.1049120933455,210.561053276062,100,5,13.771023750305176,196.79002952575684
2026-02-26 13:21:14,r206_21,0.1,1,1042,1229.3761605472494,1172.1641500267112,1145.8265418310652,26.337608195645963,105.82566905021667,100,5,8.704113483428955,97.12155556678772
2026-02-26 13:23:28,r206_21,0.1,2,1043,1225.5835335737374,1147.055351551835,1120.8941772888427,26.161174262992382,134.32896447181702,100,5,11.209899425506592,123.11906504631042
2026-02-26 13:27:42,r206_21,0.1,3,1044,1226.5922105552318,1164.2758226829112,1164.2758226829114,0.0,253.86564946174622,100,5,17.8001766204834,236.06547284126282
2026-02-26 13:30:32,r206_21,0.2,1,2042,1238.1150194363538,1166.777715519386,1145.795890148946,20.981825370439832,170.30003237724304,100,5,12.841712474822998,157.45831990242004
2026-02-26 13:33:18,r206_21,0.2,2,2043,1210.1233688836123,1164.5681024977293,1147.7793990384055,16.7887034593239,165.51421356201172,100,5,12.468668699264526,153.0455448627472
2026-02-26 13:35:07,r206_21,0.2,3,2044,1300.3910444627645,1187.719022665547,1187.719022665547,0.0,108.58336877822876,100,5,12.333143472671509,96.25022530555725
2026-02-26 13:37:15,r206_21,0.3,1,3042,1198.8746227540798,1151.6134585257603,1124.9081880610722,26.7052704646883,128.46423363685608,100,5,11.101435899734497,117.36279773712158
2026-02-26 13:42:29,r206_21,0.3,2,3043,1240.5873911526382,1153.7167683274765,1153.7167683274768,0.0,313.9392580986023,100,5,21.577834129333496,292.3614239692688
2026-02-26 13:44:16,r206_21,0.3,3,3044,1216.5744871223976,1169.3850880443308,1119.752063179291,49.63302486503977,106.76798963546753,100,5,8.864726305007935,97.9032633304596
2026-02-26 13:46:04,r206_21,0.4,1,4042,26308.330442199556,1210.651202254295,1183.7116912456488,26.939511008646164,108.37188839912415,100,5,11.63136887550354,96.7405195236206
2026-02-26 13:48:54,r206_21,0.4,2,4043,1201.2008459781525,1156.3257623706927,1145.2516754217258,11.074086948966785,169.47753953933716,100,5,12.795026063919067,156.6825134754181
2026-02-26 13:51:26,r206_21,0.4,3,4044,1275.793220467677,1190.1132368990684,1189.8216424458867,0.29159445318157373,152.11754655838013,100,5,13.731320142745972,138.38622641563416
2026-02-26 13:53:01,r206_21,0.5,1,5042,1225.3219825112385,1165.7684574572565,1138.891743719413,26.87671373784367,95.44016361236572,100,5,7.9827563762664795,87.45740723609924
2026-02-26 13:57:47,r206_21,0.5,2,5043,1320.5058833040855,1190.5417103269283,1189.8166113542297,0.7250989726983563,285.9190208911896,100,5,24.656057834625244,261.26296305656433
2026-02-26 14:00:31,r206_21,0.5,3,5044,1224.876118266447,1164.972036217308,1159.7474971848887,5.224539032419412,163.59243273735046,100,5,12.471345901489258,151.1210868358612
2026-02-26 14:03:00,r206_21,0.6,1,6042,1242.5109002483432,1166.1479398497256,1165.0163017929403,1.1316380567851474,149.0414845943451,100,5,12.694626808166504,136.3468577861786
2026-02-26 14:05:55,r206_21,0.6,2,6043,1230.0139572061064,1176.7523783638198,1143.6688025922551,33.083575771564504,175.47940707206726,100,5,12.91702127456665,162.5623857975006
2026-02-26 14:10:34,r206_21,0.6,3,6044,1234.0514846693484,1157.6574842185066,1130.9133526692278,26.744131549278936,279.0266447067261,100,5,18.9525465965271,260.074098110199
2026-02-26 14:11:55,rc106_21,0.1,1,1042,1170.2784674733516,1162.96334051758,1155.4934502949652,7.469890222614596,80.46382236480713,100,5,6.345774412155151,74.11804795265198
2026-02-26 14:13:17,rc106_21,0.1,2,1043,1185.7047100746283,1175.9425247068473,1172.7264915702194,3.2160331366276624,82.66251969337463,100,5,6.277386903762817,76.38513278961182
2026-02-26 14:14:29,rc106_21,0.1,3,1044,1166.3056057235176,1165.3473966997622,1163.6443991257388,1.702997574023353,71.90311813354492,100,5,5.686513662338257,66.21660447120667
2026-02-26 14:16:20,rc106_21,0.2,1,2042,1192.4340573505233,1162.2876749162942,1158.1307776227975,4.1568972934968365,110.22968482971191,100,5,7.689275026321411,102.5404098033905
2026-02-26 14:17:43,rc106_21,0.2,2,2043,1185.8392265929233,1167.8078516064224,1134.0508625919554,33.756989014467145,83.4019455909729,100,5,6.295129776000977,77.10681581497192
2026-02-26 14:19:07,rc106_21,0.2,3,2044,1208.6176061494673,1152.5635764706644,1113.6276940302328,38.935882440431364,83.92160892486572,100,5,6.2901952266693115,77.63141369819641
2026-02-26 14:21:26,rc106_21,0.3,1,3042,1177.119758211296,1170.1577049387054,1144.1439532818595,26.013751656845866,138.89917469024658,100,5,9.661259412765503,129.23791527748108
2026-02-26 14:23:21,rc106_21,0.3,2,3043,1176.5123639107776,1159.3941537361566,1146.2738647171916,13.120289018964943,115.48627042770386,100,5,8.055386781692505,107.43088364601135
2026-02-26 14:26:18,rc106_21,0.3,3,3044,1214.2319867168653,1161.1762774648994,1152.53095482063,8.645322644269504,176.72408652305603,100,5,11.520576000213623,165.2035105228424
2026-02-26 14:29:01,rc106_21,0.4,1,4042,1188.512513640522,1160.916549522797,1150.700909944979,10.215639577818262,163.11502170562744,100,5,9.983899593353271,153.13112211227417
2026-02-26 14:31:28,rc106_21,0.4,2,4043,1181.3643200957524,1170.6235834516579,1156.0901604855937,14.533422966064077,146.8223431110382,100,5,10.2069251537323,136.6154179573059
2026-02-26 14:33:13,rc106_21,0.4,3,4044,1200.107593909926,1160.6236641605212,1147.7375941622695,12.886069998251605,105.54816579818726,100,5,7.919646501541138,97.62851929664612
2026-02-26 14:37:31,rc106_21,0.5,1,5042,1201.9328193901972,1169.9200329131343,1158.5162388184997,11.403794094634586,257.2629060745239,100,5,15.873251676559448,241.38965439796448
2026-02-26 14:40:12,rc106_21,0.5,2,5043,1188.9720430438015,1184.5036610463546,1155.9450473934348,28.558613652919732,160.85885858535767,100,5,10.756884813308716,150.10197377204895
2026-02-26 14:41:59,rc106_21,0.5,3,5044,1192.000085423032,1180.8042091898478,1161.0773653363103,19.7268438535375,106.98824310302734,100,5,8.102855682373047,98.8853874206543
2026-02-26 14:44:06,rc106_21,0.6,1,6042,1187.6641125381234,1174.9823833068365,1155.5871477961225,19.395235510713896,127.38141632080078,100,5,9.335862398147583,118.0455539226532
2026-02-26 14:46:39,rc106_21,0.6,2,6043,1218.2929091168428,1160.2154232689809,1118.0434227098272,42.17200055915383,153.25082659721375,100,5,10.871888399124146,142.3789381980896
2026-02-26 14:48:52,rc106_21,0.6,3,6044,1211.2067181670957,1166.8064945915567,1149.1526020976783,17.653892493878374,132.4955952167511,100,5,9.518332481384277,122.97726273536682
2026-02-26 14:51:33,rc206_21,0.1,1,1042,1205.3264120081428,1161.5400023113784,1160.9836701648865,0.5563321464920987,160.9599187374115,100,5,11.23357343673706,149.72634530067444
2026-02-26 14:53:32,rc206_21,0.1,2,1043,1187.6445395461583,1158.7732513570306,1155.4997634040021,3.2734879530284804,119.48282885551453,100,5,9.005860567092896,110.47696828842163
2026-02-26 14:55:14,rc206_21,0.1,3,1044,1213.7431299688003,1168.0226002153447,1161.6767826486364,6.34581756670844,101.56075096130371,100,5,7.737736463546753,93.82301449775696
2026-02-26 14:56:54,rc206_21,0.2,1,2042,1191.382983006639,1161.3044938582566,1104.3368197074465,56.96767415081017,100.0609450340271,100,5,7.413531541824341,92.64741349220276
2026-02-26 15:00:35,rc206_21,0.2,2,2043,1205.1619120727566,1162.8587201064497,1136.8623597240269,25.996360382422836,221.3225450515747,100,5,13.73513388633728,207.58741116523743
2026-02-26 15:04:18,rc206_21,0.2,3,2044,1187.1679885926626,1152.0511471971795,1114.3808662292888,37.67028096789047,222.9529755115509,100,5,14.265509128570557,208.68746638298035
2026-02-26 15:08:25,rc206_21,0.3,1,3042,1190.3901482941353,1159.5289982754387,1149.8901470152464,9.63885126019215,247.2747712135315,100,5,13.868685007095337,233.40608620643616
2026-02-26 15:09:59,rc206_21,0.3,2,3043,1178.0853075484679,1170.208739142474,1157.120212509522,13.088526632952039,93.96944069862366,100,5,8.044421911239624,85.92501878738403
2026-02-27 07:15:30,rc206_21,0.3,3,3044,1185.2597186205141,1171.7420143028523,1163.9560645962101,7.785949706642257,57930.16620159149,100,5,8.097981929779053,57922.06821966171
2026-02-27 07:19:10,rc206_21,0.4,1,4042,1192.5890436059387,1167.8420014040234,1128.2677124240183,39.57428898000528,220.79664516448975,100,5,13.660134315490723,207.13651084899902
2026-02-27 07:23:03,rc206_21,0.4,2,4043,1212.893360328486,1174.7245096763222,1123.8238291881014,50.90068048822086,232.2131164073944,100,5,15.535022020339966,216.67809438705444
